<http://zbw.eu/stw/descriptor/18803-0>	Public institution
<http://zbw.eu/stw/descriptor/16635-5>	Health
<http://zbw.eu/stw/descriptor/11210-6>	Structural unemployment
<http://zbw.eu/stw/descriptor/29947-0>	Double auction
<http://zbw.eu/stw/descriptor/10717-5>	Currency devaluation
<http://zbw.eu/stw/descriptor/14124-5>	Milk
<http://zbw.eu/stw/descriptor/11676-2>	Capital levy
<http://zbw.eu/stw/descriptor/18059-5>	Economic information
<http://zbw.eu/stw/descriptor/16830-0>	Berlin
<http://zbw.eu/stw/descriptor/11819-6>	Skilled trades support
<http://zbw.eu/stw/descriptor/18835-1>	Nonprofit marketing
<http://zbw.eu/stw/descriptor/18701-1>	Interest rate derivative
<http://zbw.eu/stw/descriptor/16427-5>	Peace
<http://zbw.eu/stw/descriptor/28130-5>	Web survey
<http://zbw.eu/stw/descriptor/10500-2>	Industrialization
<http://zbw.eu/stw/descriptor/13037-5>	Non-ferrous metals industry
<http://zbw.eu/stw/descriptor/17754-6>	Tunisia
<http://zbw.eu/stw/descriptor/11252-4>	Vocational counselling
<http://zbw.eu/stw/descriptor/13194-3>	Construction material traders
<http://zbw.eu/stw/descriptor/14601-4>	Chemical element
<http://zbw.eu/stw/descriptor/12013-3>	Transport infrastructure
<http://zbw.eu/stw/descriptor/11284-5>	Women workers
<http://zbw.eu/stw/descriptor/18085-4>	Financial services
<http://zbw.eu/stw/descriptor/18095-1>	Textile machinery industry
<http://zbw.eu/stw/descriptor/19263-1>	Target zone
<http://zbw.eu/stw/descriptor/12760-1>	Production control
<http://zbw.eu/stw/descriptor/10237-5>	Aggregate demand
<http://zbw.eu/stw/descriptor/29754-4>	Theory of involuntary unemployment
<http://zbw.eu/stw/descriptor/18014-6>	Uncultivated land
<http://zbw.eu/stw/descriptor/12533-5>	Cost unit accounting
<http://zbw.eu/stw/descriptor/29960-1>	Capability approach
<http://zbw.eu/stw/descriptor/29788-1>	Bertrand competition
<http://zbw.eu/stw/descriptor/10561-3>	Development project
<http://zbw.eu/stw/descriptor/18334-2>	Nutrition policy
<http://zbw.eu/stw/descriptor/15823-2>	Leadership personality
<http://zbw.eu/stw/descriptor/18450-0>	Press distribution
<http://zbw.eu/stw/thsys/70573>	V.14.03  Health economics
<http://zbw.eu/stw/descriptor/18924-2>	Cultural identity
<http://zbw.eu/stw/descriptor/14854-3>	Synthetic fibre
<http://zbw.eu/stw/descriptor/19218-6>	Marginal analysis
<http://zbw.eu/stw/descriptor/15737-2>	Emission control
<http://zbw.eu/stw/descriptor/10748-1>	Yen
<http://zbw.eu/stw/descriptor/16601-1>	Service economy
<http://zbw.eu/stw/thsys/180782>	B.04.01.03  Human resource planning
<http://zbw.eu/stw/descriptor/13496-1>	Cash-and-carry wholesale
<http://zbw.eu/stw/descriptor/12984-0>	Petroleum extraction
<http://zbw.eu/stw/descriptor/11626-3>	Mixed enterprise
<http://zbw.eu/stw/descriptor/14021-1>	Construction material
<http://zbw.eu/stw/descriptor/12846-5>	Advertising
<http://zbw.eu/stw/descriptor/29951-2>	Family structure
<http://zbw.eu/stw/descriptor/11536-4>	Fiscal administration
<http://zbw.eu/stw/descriptor/19534-3>	Duration
<http://zbw.eu/stw/descriptor/15662-0>	Nature
<http://zbw.eu/stw/descriptor/12625-0>	Job enlargement
<http://zbw.eu/stw/descriptor/18003-4>	Expert system
<http://zbw.eu/stw/descriptor/16354-6>	Election
<http://zbw.eu/stw/descriptor/14817-2>	Rubber product
<http://zbw.eu/stw/descriptor/30096-6>	South Sudan
<http://zbw.eu/stw/descriptor/19650-1>	Migration research
<http://zbw.eu/stw/descriptor/10298-6>	Consumers
<http://zbw.eu/stw/descriptor/19580-3>	Migration statistics
<http://zbw.eu/stw/descriptor/15858-4>	Psychology of advertising
<http://zbw.eu/stw/descriptor/12884-4>	Management control
<http://zbw.eu/stw/descriptor/18013-1>	Service industry
<http://zbw.eu/stw/descriptor/11665-0>	Church finances
<http://zbw.eu/stw/descriptor/29624-3>	Start-up financing
<http://zbw.eu/stw/descriptor/29851-6>	Congestion pricing
<http://zbw.eu/stw/descriptor/19711-0>	International conference
<http://zbw.eu/stw/descriptor/24787-0>	Logistics provider
<http://zbw.eu/stw/descriptor/19416-2>	Special tax
<http://zbw.eu/stw/descriptor/15598-4>	Information system
<http://zbw.eu/stw/descriptor/17567-5>	Taiwan
<http://zbw.eu/stw/descriptor/19768-6>	Justice
<http://zbw.eu/stw/thsys/70192>	N.00  Related subject areas
<http://zbw.eu/stw/descriptor/14001-0>	Library profession
<http://zbw.eu/stw/descriptor/29914-1>	Fourier analysis
<http://zbw.eu/stw/descriptor/14032-3>	Household equipment
<http://zbw.eu/stw/thsys/71086>	V.08.01  Development theories and strategies
<http://zbw.eu/stw/descriptor/15977-3>	Arbitration
<http://zbw.eu/stw/descriptor/26227-0>	EU-European
<http://zbw.eu/stw/descriptor/18177-6>	Islamic finance
<http://zbw.eu/stw/descriptor/16290-6>	Political change
<http://zbw.eu/stw/descriptor/19595-4>	Shapley value
<http://zbw.eu/stw/descriptor/16190-3>	IT crime
<http://zbw.eu/stw/descriptor/29882-2>	Goal programming
<http://zbw.eu/stw/descriptor/18856-0>	Drop-outs
<http://zbw.eu/stw/descriptor/10537-0>	Stages of growth model
<http://zbw.eu/stw/descriptor/11495-6>	Inflation expectations
<http://zbw.eu/stw/descriptor/10427-0>	Neoclassical growth model
<http://zbw.eu/stw/descriptor/18112-6>	Telework
<http://zbw.eu/stw/descriptor/19552-1>	Demand system
<http://zbw.eu/stw/thsys/70046>	B.08  Corporate tax management
<http://zbw.eu/stw/descriptor/19246-1>	Regional change
<http://zbw.eu/stw/descriptor/13686-3>	Economics of banking
<http://zbw.eu/stw/descriptor/10178-2>	Inferior goods
<http://zbw.eu/stw/descriptor/16322-5>	Territorial reform
<http://zbw.eu/stw/descriptor/16650-2>	Self help
<http://zbw.eu/stw/descriptor/14911-3>	Headgear
<http://zbw.eu/stw/descriptor/10249-5>	Macroeconomics
<http://zbw.eu/stw/descriptor/19223-6>	Ramsey pricing
<http://zbw.eu/stw/descriptor/18521-3>	Tea trade
<http://zbw.eu/stw/descriptor/12800-1>	Brand
<http://zbw.eu/stw/descriptor/29921-4>	Marginal productivity
<http://zbw.eu/stw/descriptor/18109-2>	SE company
<http://zbw.eu/stw/descriptor/16849-0>	Bremen
<http://zbw.eu/stw/descriptor/29141-2>	Computational economics
<http://zbw.eu/stw/descriptor/18489-1>	Industrial region
<http://zbw.eu/stw/descriptor/11788-5>	Declining markets
<http://zbw.eu/stw/descriptor/10619-5>	International economic policy
<http://zbw.eu/stw/thsys/70038>	V.03.07  Macroeconomic policy
<http://zbw.eu/stw/descriptor/12618-4>	Occupational disease
<http://zbw.eu/stw/descriptor/14088-4>	Grain
<http://zbw.eu/stw/descriptor/13321-1>	Laundry services
<http://zbw.eu/stw/descriptor/29227-6>	Data quality
<http://zbw.eu/stw/descriptor/19224-4>	Regional price index
<http://zbw.eu/stw/descriptor/16628-2>	Women's movement
<http://zbw.eu/stw/thsys/70113>	B.04  Human resource management
<http://zbw.eu/stw/descriptor/13989-6>	Politicians
<http://zbw.eu/stw/thsys/180780>	B.04.01.01  Work organization
<http://zbw.eu/stw/descriptor/12816-0>	Special offers
<http://zbw.eu/stw/descriptor/18098-2>	Product placement
<http://zbw.eu/stw/descriptor/15057-3>	Simulation
<http://zbw.eu/stw/descriptor/13256-0>	Shipping
<http://zbw.eu/stw/descriptor/11404-0>	School policy
<http://zbw.eu/stw/descriptor/15467-5>	Decision under risk
<http://zbw.eu/stw/thsys/70188>	V.01.02.01  Equilibrium theory
<http://zbw.eu/stw/descriptor/13794-0>	Custody services
<http://zbw.eu/stw/descriptor/29767-2>	Product testing
<http://zbw.eu/stw/descriptor/15021-3>	Delphi technique
<http://zbw.eu/stw/descriptor/12502-2>	Non-wage labour costs
<http://zbw.eu/stw/descriptor/16336-1>	Administrative reform
<http://zbw.eu/stw/descriptor/11101-4>	State capitalism
<http://zbw.eu/stw/descriptor/18671-5>	Financial sector
<http://zbw.eu/stw/descriptor/13641-4>	International tourism
<http://zbw.eu/stw/descriptor/10494-6>	Development indicator
<http://zbw.eu/stw/descriptor/18192-3>	Coffee farming
<http://zbw.eu/stw/descriptor/10464-1>	High technology
<http://zbw.eu/stw/thsys/70060>	N.08  Culture and humanities
<http://zbw.eu/stw/descriptor/30179-2>	Quantitative easing
<http://zbw.eu/stw/descriptor/16297-6>	Decentralization
<http://zbw.eu/stw/descriptor/12759-0>	Product line
<http://zbw.eu/stw/descriptor/29938-1>	Macroeconomic model
<http://zbw.eu/stw/descriptor/13983-4>	Seafarers
<http://zbw.eu/stw/descriptor/15624-1>	Systems analysis
<http://zbw.eu/stw/descriptor/15267-6>	Monte Carlo simulation
<http://zbw.eu/stw/thsys/70130>	G.01.04  Southeastern Europe
<http://zbw.eu/stw/descriptor/12718-0>	Single-item manufacturing
<http://zbw.eu/stw/thsys/70134>	P.07.01  Non-ferrous metals
<http://zbw.eu/stw/descriptor/10495-4>	Nutrition
<http://zbw.eu/stw/descriptor/29961-6>	Differential equation
<http://zbw.eu/stw/descriptor/15033-3>	Entropy
<http://zbw.eu/stw/descriptor/16754-4>	Information
<http://zbw.eu/stw/thsys/73356>	N.06.04  Social problems
<http://zbw.eu/stw/descriptor/19604-1>	Services statistics
<http://zbw.eu/stw/descriptor/18996-5>	Energy market
<http://zbw.eu/stw/descriptor/29773-0>	Indivisible goods
<http://zbw.eu/stw/descriptor/14119-5>	Citrus fruit
<http://zbw.eu/stw/descriptor/11164-1>	Power
<http://zbw.eu/stw/descriptor/19529-3>	Radiotherapy
<http://zbw.eu/stw/descriptor/11558-1>	Public social expenditure
<http://zbw.eu/stw/descriptor/10517-6>	Balanced growth
<http://zbw.eu/stw/descriptor/15881-2>	Climate science
<http://zbw.eu/stw/descriptor/12241-4>	Receivables financing
<http://zbw.eu/stw/descriptor/27675-3>	Online auction
<http://zbw.eu/stw/descriptor/15683-6>	Winter sports
<http://zbw.eu/stw/descriptor/13525-6>	Railway tariff
<http://zbw.eu/stw/descriptor/29641-3>	Private investment
<http://zbw.eu/stw/descriptor/13565-1>	Transportation law
<http://zbw.eu/stw/thsys/180786>	B.04.03.02  Benefits
<http://zbw.eu/stw/descriptor/13453-5>	Part-time farming
<http://zbw.eu/stw/descriptor/13501-6>	International transport
<http://zbw.eu/stw/descriptor/11165-6>	Median voter
<http://zbw.eu/stw/descriptor/29884-5>	Disaggregation
<http://zbw.eu/stw/descriptor/13180-0>	Finishing trades
<http://zbw.eu/stw/descriptor/26756-1>	South Africans
<http://zbw.eu/stw/descriptor/11325-3>	Wage level
<http://zbw.eu/stw/descriptor/18836-6>	Social marketing
<http://zbw.eu/stw/descriptor/18800-6>	Local infrastructure
<http://zbw.eu/stw/descriptor/30099-0>	West Indies
<http://zbw.eu/stw/descriptor/19745-4>	Interview
<http://zbw.eu/stw/descriptor/18816-5>	Military base
<http://zbw.eu/stw/descriptor/30034-0>	Basketball
<http://zbw.eu/stw/descriptor/14983-6>	Spirits
<http://zbw.eu/stw/descriptor/29984-1>	Neostructuralism
<http://zbw.eu/stw/descriptor/13360-5>	Broadcasting industry
<http://zbw.eu/stw/thsys/194089>	N.09.01.01  Business mathematics
<http://zbw.eu/stw/descriptor/10882-4>	Foreign trade institution
<http://zbw.eu/stw/descriptor/18399-2>	Metal crafts
<http://zbw.eu/stw/descriptor/29828-1>	Motorsport
<http://zbw.eu/stw/descriptor/11313-3>	Trade union
<http://zbw.eu/stw/descriptor/29619-3>	Greenfield investment
<http://zbw.eu/stw/descriptor/13055-3>	Truck industry
<http://zbw.eu/stw/descriptor/29544-1>	Generic drugs
<http://zbw.eu/stw/descriptor/12605-6>	Radiation protection
<http://zbw.eu/stw/thsys/70429>	G.03.03  Southern Africa
<http://zbw.eu/stw/thsys/71036>	B.09.03  Corporate information systems
<http://zbw.eu/stw/descriptor/17724-1>	West Africa
<http://zbw.eu/stw/descriptor/20018-4>	Private equity
<http://zbw.eu/stw/descriptor/13727-1>	Jouissance share
<http://zbw.eu/stw/descriptor/13465-5>	Distributive trade statistics
<http://zbw.eu/stw/descriptor/15956-4>	Return migration
<http://zbw.eu/stw/descriptor/18970-2>	Mothers
<http://zbw.eu/stw/descriptor/11382-5>	Teaching
<http://zbw.eu/stw/descriptor/19503-0>	Trade union law
<http://zbw.eu/stw/descriptor/18375-2>	Mineral policy
<http://zbw.eu/stw/descriptor/11215-3>	Annual leave
<http://zbw.eu/stw/descriptor/29777-6>	Combinatorial optimization
<http://zbw.eu/stw/thsys/73396>	N.06.02.01  Social orders
<http://zbw.eu/stw/descriptor/18606-2>	Scheduled air transport
<http://zbw.eu/stw/descriptor/15927-4>	Men
<http://zbw.eu/stw/thsys/72183>	N.09.02.02  Statistical data collection
<http://zbw.eu/stw/descriptor/15739-5>	Noise
<http://zbw.eu/stw/descriptor/18332-6>	Common agricultural policy
<http://zbw.eu/stw/thsys/179318>	B.01.07  Global management
<http://zbw.eu/stw/descriptor/19442-1>	Economic thermodynamics
<http://zbw.eu/stw/descriptor/14298-0>	Gold
<http://zbw.eu/stw/descriptor/19671-0>	Dual listing
<http://zbw.eu/stw/descriptor/12591-5>	Occupational pension plan
<http://zbw.eu/stw/descriptor/13980-3>	Aviation employees
<http://zbw.eu/stw/descriptor/13652-6>	E-mail
<http://zbw.eu/stw/descriptor/15690-2>	History
<http://zbw.eu/stw/thsys/70058>	V.11  Regional science
<http://zbw.eu/stw/descriptor/18887-3>	Social statistics
<http://zbw.eu/stw/descriptor/11494-1>	Anti-inflation policy
<http://zbw.eu/stw/descriptor/12075-2>	Corporate reputation
<http://zbw.eu/stw/thsys/73344>	N.10.04.01  Key technologies
<http://zbw.eu/stw/thsys/71067>	V.11.02  Economics of location
<http://zbw.eu/stw/descriptor/26773-1>	White people
<http://zbw.eu/stw/descriptor/19796-1>	Unit of measurement
<http://zbw.eu/stw/descriptor/16406-6>	Individualism
<http://zbw.eu/stw/descriptor/17990-1>	Latin America
<http://zbw.eu/stw/descriptor/29232-6>	Web analytics
<http://zbw.eu/stw/descriptor/19751-2>	Self-organization
<http://zbw.eu/stw/descriptor/19229-1>	New classical macroeconomics
<http://zbw.eu/stw/descriptor/29552-2>	SME financing
<http://zbw.eu/stw/descriptor/14003-3>	Translation
<http://zbw.eu/stw/descriptor/29823-4>	Plant asset management
<http://zbw.eu/stw/descriptor/19708-3>	International cooperation
<http://zbw.eu/stw/descriptor/15657-0>	Literature
<http://zbw.eu/stw/thsys/70109>	V.15  Economic history
<http://zbw.eu/stw/descriptor/12986-3>	Salt production
<http://zbw.eu/stw/thsys/70881>	W.19.01  Publishing Industry
<http://zbw.eu/stw/descriptor/19509-2>	Labour standards
<http://zbw.eu/stw/thsys/70028>	B.01  Management and business organization
<http://zbw.eu/stw/thsys/73301>	P.19.02  Fish and fish products
<http://zbw.eu/stw/descriptor/18806-1>	Local public investment
<http://zbw.eu/stw/descriptor/12263-1>	Convertible bond
<http://zbw.eu/stw/descriptor/12628-1>	Shift work
<http://zbw.eu/stw/descriptor/29236-5>	Search engine
<http://zbw.eu/stw/descriptor/10560-5>	Development policy
<http://zbw.eu/stw/descriptor/20506-5>	Mean reversion
<http://zbw.eu/stw/descriptor/10486-5>	Illiteracy
<http://zbw.eu/stw/thsys/70943>	W.12  Transport
<http://zbw.eu/stw/descriptor/11769-2>	Employee ownership
<http://zbw.eu/stw/descriptor/19564-1>	Product labelling
<http://zbw.eu/stw/descriptor/26391-1>	Koreans
<http://zbw.eu/stw/descriptor/16721-5>	Rationalism
<http://zbw.eu/stw/descriptor/10011-3>	Costs
<http://zbw.eu/stw/descriptor/30114-2>	Process innovation
<http://zbw.eu/stw/descriptor/29908-3>	Normal distribution
<http://zbw.eu/stw/descriptor/16247-0>	Dictatorship
<http://zbw.eu/stw/descriptor/16697-4>	Gerontology
<http://zbw.eu/stw/descriptor/13450-4>	Agricultural technology
<http://zbw.eu/stw/descriptor/14125-3>	Silk
<http://zbw.eu/stw/descriptor/12164-3>	Reporting
<http://zbw.eu/stw/descriptor/16333-0>	Head of state
<http://zbw.eu/stw/descriptor/11635-2>	Tax revenue
<http://zbw.eu/stw/descriptor/16783-4>	Library service
<http://zbw.eu/stw/descriptor/18934-6>	Television programme
<http://zbw.eu/stw/thsys/71008>	W.05.02  Resource policy
<http://zbw.eu/stw/descriptor/19625-0>	Biodiversity
<http://zbw.eu/stw/descriptor/29714-2>	Fiscal sociology
<http://zbw.eu/stw/descriptor/29607-3>	Pets
<http://zbw.eu/stw/thsys/71017>	W.04  Energy and Water Industries
<http://zbw.eu/stw/descriptor/13320-3>	Fitness industry
<http://zbw.eu/stw/descriptor/19097-6>	Cost analysis
<http://zbw.eu/stw/descriptor/11873-0>	Spatial interaction
<http://zbw.eu/stw/descriptor/18504-3>	Construction economics
<http://zbw.eu/stw/descriptor/15685-2>	Science
<http://zbw.eu/stw/thsys/73357>	N.06.03.04  Age, partnership and family
<http://zbw.eu/stw/descriptor/19465-3>	Rural health care
<http://zbw.eu/stw/thsys/70647>	P.06.01  Glass and ceramics
<http://zbw.eu/stw/descriptor/19679-5>	Insurance market
<http://zbw.eu/stw/descriptor/18134-3>	Saxony
<http://zbw.eu/stw/descriptor/26102-6>	Arab
<http://zbw.eu/stw/descriptor/12881-3>	Consultancy services
<http://zbw.eu/stw/descriptor/19245-3>	Resource wealth
<http://zbw.eu/stw/descriptor/16306-3>	Change of government
<http://zbw.eu/stw/descriptor/10996-3>	Labour allocation
<http://zbw.eu/stw/descriptor/12589-6>	Human resource development
<http://zbw.eu/stw/descriptor/14039-3>	Power plant
<http://zbw.eu/stw/descriptor/17716-0>	Niger
<http://zbw.eu/stw/descriptor/10895-2>	Competition
<http://zbw.eu/stw/descriptor/16475-1>	Old-age policy
<http://zbw.eu/stw/descriptor/12594-6>	Performance pay
<http://zbw.eu/stw/thsys/70178>	V.10.02  Price theory
<http://zbw.eu/stw/thsys/70423>	P.10.05  Photographic devices and optical products
<http://zbw.eu/stw/descriptor/29084-2>	IT management
<http://zbw.eu/stw/descriptor/18788-5>	Designers
<http://zbw.eu/stw/descriptor/20442-5>	Efficient consumer response
<http://zbw.eu/stw/descriptor/14554-1>	Cooker
<http://zbw.eu/stw/descriptor/14567-6>	Tools
<http://zbw.eu/stw/thsys/70406>	V.04.02  Economic growth
<http://zbw.eu/stw/descriptor/18073-4>	Alternative economy
<http://zbw.eu/stw/descriptor/10851-1>	International marketing research
<http://zbw.eu/stw/descriptor/15086-3>	Producer price index
<http://zbw.eu/stw/descriptor/19835-3>	Investor relations
<http://zbw.eu/stw/thsys/175786>	N.03.04  Peoples and ethnic groups
<http://zbw.eu/stw/descriptor/15798-3>	Communication
<http://zbw.eu/stw/descriptor/11237-0>	Labour administration
<http://zbw.eu/stw/descriptor/19501-4>	Earnings losses
<http://zbw.eu/stw/descriptor/16668-4>	Drug consumption
<http://zbw.eu/stw/descriptor/12001-3>	Infrastructure provision
<http://zbw.eu/stw/descriptor/13830-1>	Housing stock
<http://zbw.eu/stw/thsys/70234>	V.03  Macroeconomics
<http://zbw.eu/stw/descriptor/15966-1>	Law
<http://zbw.eu/stw/descriptor/15743-0>	Air pollution
<http://zbw.eu/stw/descriptor/18496-4>	Building
<http://zbw.eu/stw/descriptor/19151-5>	Conference
<http://zbw.eu/stw/descriptor/16100-2>	Budget law
<http://zbw.eu/stw/descriptor/18409-4>	Conveyor industry
<http://zbw.eu/stw/descriptor/10019-1>	Debt
<http://zbw.eu/stw/descriptor/18989-2>	Energy consumption
<http://zbw.eu/stw/descriptor/10377-3>	Supply-side policies
<http://zbw.eu/stw/descriptor/18982-2>	Rural income
<http://zbw.eu/stw/descriptor/19119-1>	Key account management
<http://zbw.eu/stw/descriptor/14775-6>	Flat glass
<http://zbw.eu/stw/descriptor/16156-3>	Victim compensation law
<http://zbw.eu/stw/descriptor/17704-0>	Ghana
<http://zbw.eu/stw/descriptor/15753-4>	Raw material supply
<http://zbw.eu/stw/descriptor/29995-3>	Actor-network theory
<http://zbw.eu/stw/descriptor/14323-6>	Pipeline
<http://zbw.eu/stw/descriptor/29578-5>	International climate policy
<http://zbw.eu/stw/descriptor/18296-5>	Navigation system
<http://zbw.eu/stw/descriptor/10055-4>	Price elasticity
<http://zbw.eu/stw/descriptor/28657-0>	Economic education
<http://zbw.eu/stw/descriptor/13003-1>	Nuclear industry
<http://zbw.eu/stw/thsys/196934>	W.06.05  Chemical industry
<http://zbw.eu/stw/descriptor/12848-1>	Corporate tax management
<http://zbw.eu/stw/descriptor/27455-3>	Creative industries
<http://zbw.eu/stw/descriptor/16192-6>	Juvenile delinquency
<http://zbw.eu/stw/descriptor/11355-1>	Graduates
<http://zbw.eu/stw/descriptor/28439-3>	Age discrimination
<http://zbw.eu/stw/descriptor/11358-2>	Trainers
<http://zbw.eu/stw/descriptor/12030-3>	Real estate leasing
<http://zbw.eu/stw/descriptor/29596-3>	Gasoline price
<http://zbw.eu/stw/descriptor/11724-3>	Wagner's law
<http://zbw.eu/stw/thsys/70182>	N.03.01  Population dynamics
<http://zbw.eu/stw/descriptor/10169-3>	Labour supply
<http://zbw.eu/stw/descriptor/13633-3>	Parking
<http://zbw.eu/stw/thsys/71077>	V.09.04.03  International taxation
<http://zbw.eu/stw/descriptor/18872-2>	Graduate business education
<http://zbw.eu/stw/thsys/71095>	V.07.03  International economic relations
<http://zbw.eu/stw/descriptor/10113-2>	Welfare economics
<http://zbw.eu/stw/thsys/71007>	W.05.01.01  Metal Mining
<http://zbw.eu/stw/thsys/185787>	V.11.07  Economic geography
<http://zbw.eu/stw/descriptor/19934-1>	Book value
<http://zbw.eu/stw/descriptor/17784-4>	Honduras
<http://zbw.eu/stw/descriptor/14446-4>	Boat
<http://zbw.eu/stw/descriptor/11367-1>	Educational System
<http://zbw.eu/stw/descriptor/10251-4>	Multiplier
<http://zbw.eu/stw/descriptor/28977-3>	Neuromarketing
<http://zbw.eu/stw/descriptor/26520-2>	From New Zealand
<http://zbw.eu/stw/descriptor/16440-6>	Negotiations
<http://zbw.eu/stw/descriptor/30023-5>	Cultural marketing
<http://zbw.eu/stw/descriptor/18593-6>	Maritime safety
<http://zbw.eu/stw/descriptor/11929-6>	Regional multiplier
<http://zbw.eu/stw/descriptor/29856-3>	Vitamin
<http://zbw.eu/stw/descriptor/16226-1>	Participation
<http://zbw.eu/stw/descriptor/29802-5>	Creativity technique
<http://zbw.eu/stw/descriptor/13436-5>	Farmers
<http://zbw.eu/stw/descriptor/12521-5>	Cost centre accounting
<http://zbw.eu/stw/descriptor/12041-5>	Business economics
<http://zbw.eu/stw/descriptor/19605-6>	Duration analysis
<http://zbw.eu/stw/descriptor/10773-2>	Exchange rate
<http://zbw.eu/stw/descriptor/30024-3>	Popular culture
<http://zbw.eu/stw/descriptor/18712-3>	Electronic banking
<http://zbw.eu/stw/descriptor/16547-2>	Social security contribution
<http://zbw.eu/stw/descriptor/19523-1>	Tobin's Q
<http://zbw.eu/stw/descriptor/26706-2>	Slavs
<http://zbw.eu/stw/descriptor/10440-1>	Labour productivity
<http://zbw.eu/stw/descriptor/17829-1>	United States
<http://zbw.eu/stw/descriptor/18703-4>	EU bank law
<http://zbw.eu/stw/descriptor/13066-5>	Shipbuilding industry
<http://zbw.eu/stw/descriptor/15706-6>	Economic history
<http://zbw.eu/stw/descriptor/12806-3>	Brand image
<http://zbw.eu/stw/descriptor/26379-5>	Cambodian
<http://zbw.eu/stw/descriptor/15518-0>	Vehicle routing problem
<http://zbw.eu/stw/descriptor/17748-1>	Libya
<http://zbw.eu/stw/descriptor/10455-2>	Electronics
<http://zbw.eu/stw/descriptor/19680-6>	Communitarianism
<http://zbw.eu/stw/descriptor/29121-1>	Absorption
<http://zbw.eu/stw/descriptor/14885-6>	Yarn
<http://zbw.eu/stw/descriptor/26208-4>	German
<http://zbw.eu/stw/descriptor/12810-5>	Product differentiation
<http://zbw.eu/stw/descriptor/10002-4>	Order processing
<http://zbw.eu/stw/descriptor/19203-5>	Bioeconomics
<http://zbw.eu/stw/descriptor/30060-6>	Direct democracy
<http://zbw.eu/stw/descriptor/14623-1>	Flavour
<http://zbw.eu/stw/descriptor/14164-0>	Freshwater fish
<http://zbw.eu/stw/descriptor/19069-4>	Interfirm comparison
<http://zbw.eu/stw/descriptor/11810-3>	Energy policy
<http://zbw.eu/stw/descriptor/18500-4>	Piping construction
<http://zbw.eu/stw/descriptor/13376-4>	Architecture firm
<http://zbw.eu/stw/descriptor/12049-3>	Large firm
<http://zbw.eu/stw/descriptor/28418-4>	Learning method
<http://zbw.eu/stw/descriptor/19524-6>	Shock
<http://zbw.eu/stw/descriptor/16955-1>	Vienna
<http://zbw.eu/stw/descriptor/29752-1>	Anti-discrimination law
<http://zbw.eu/stw/descriptor/18455-4>	Product classification
<http://zbw.eu/stw/descriptor/15994-3>	Freedom of movement
<http://zbw.eu/stw/descriptor/30050-2>	Migration decision
<http://zbw.eu/stw/thsys/70416>	P.13  Wood products
<http://zbw.eu/stw/descriptor/19851-5>	International jurisdiction
<http://zbw.eu/stw/descriptor/19616-1>	Coastal waters
<http://zbw.eu/stw/descriptor/29728-5>	Forensic analysis
<http://zbw.eu/stw/descriptor/18585-5>	Intelligent transport system
<http://zbw.eu/stw/descriptor/18074-2>	E-learning
<http://zbw.eu/stw/descriptor/13666-2>	Teleconferencing
<http://zbw.eu/stw/descriptor/26176-5>	British
<http://zbw.eu/stw/descriptor/11650-6>	Income tax
<http://zbw.eu/stw/descriptor/18251-6>	Optoelectronics
<http://zbw.eu/stw/descriptor/11651-4>	Inheritance tax
<http://zbw.eu/stw/descriptor/18704-2>	Central bank independence
<http://zbw.eu/stw/descriptor/18584-0>	Taxi industry
<http://zbw.eu/stw/descriptor/11354-3>	Educational achievement
<http://zbw.eu/stw/descriptor/12978-2>	Gas industry
<http://zbw.eu/stw/descriptor/29931-1>	Sustainable consumption
<http://zbw.eu/stw/descriptor/15729-1>	Wastewater
<http://zbw.eu/stw/thsys/71091>	V.07.03.01  Foreign trade
<http://zbw.eu/stw/thsys/73348>	N.10.02  Life sciences
<http://zbw.eu/stw/descriptor/28667-4>	Internship
<http://zbw.eu/stw/descriptor/19084-1>	Central-Eastern Europe
<http://zbw.eu/stw/descriptor/14144-6>	Pigs
<http://zbw.eu/stw/descriptor/15080-1>	Wholesale price
<http://zbw.eu/stw/descriptor/19713-3>	Middle power
<http://zbw.eu/stw/thsys/70947>	W.10.05  Retail trade
<http://zbw.eu/stw/descriptor/18736-3>	Fraud
<http://zbw.eu/stw/descriptor/15755-0>	Acid rain
<http://zbw.eu/stw/descriptor/11818-1>	Chamber of trades and crafts
<http://zbw.eu/stw/descriptor/12371-5>	Income statement
<http://zbw.eu/stw/descriptor/26841-3>	Hungarians
<http://zbw.eu/stw/descriptor/19730-3>	Constructivism
<http://zbw.eu/stw/descriptor/18339-6>	Forest science
<http://zbw.eu/stw/descriptor/16898-1>	North Rhine-Westphalia
<http://zbw.eu/stw/descriptor/26378-0>	Kazak
<http://zbw.eu/stw/descriptor/17678-3>	Tanzania
<http://zbw.eu/stw/descriptor/13600-4>	Vehicle fleet
<http://zbw.eu/stw/descriptor/29601-1>	Vegetation
<http://zbw.eu/stw/descriptor/11180-3>	Labour
<http://zbw.eu/stw/descriptor/18277-2>	Home furnishings
<http://zbw.eu/stw/descriptor/19430-1>	Chicago School
<http://zbw.eu/stw/descriptor/14810-2>	Wood pulp
<http://zbw.eu/stw/descriptor/18279-5>	Composite materials
<http://zbw.eu/stw/descriptor/12035-0>	New orders
<http://zbw.eu/stw/descriptor/29617-0>	European foreign economic policy
<http://zbw.eu/stw/descriptor/11579-0>	Public contract
