<http://www.yso.fi/onto/yso/p19899>	Häme Castle
<http://www.yso.fi/onto/yso/p22699>	chitosan
<http://www.yso.fi/onto/yso/p27408>	Forest Samis
<http://www.yso.fi/onto/yso/p21209>	cold working
<http://www.yso.fi/onto/yso/p18113>	Melica
<http://www.yso.fi/onto/yso/p12247>	wastewater load
<http://www.yso.fi/onto/yso/p19336>	zircon
<http://www.yso.fi/onto/yso/p22414>	Afghan hound
<http://www.yso.fi/onto/yso/p187156>	Tampere Central Square
<http://www.yso.fi/onto/yso/p29393>	bee products
<http://www.yso.fi/onto/yso/p23136>	Urpolanjoki Nature Reserve
<http://www.yso.fi/onto/yso/p20964>	acrylamide
<http://www.yso.fi/onto/yso/p10439>	toy industry
<http://www.yso.fi/onto/yso/p5139>	volleyball
<http://www.yso.fi/onto/yso/p17760>	seed plants
<http://www.yso.fi/onto/yso/p7280>	loss of hair
<http://www.yso.fi/onto/yso/p21747>	soybeans
<http://www.yso.fi/onto/yso/p4071>	subject teachers
<http://www.yso.fi/onto/yso/p7848>	cutlery
<http://www.yso.fi/onto/yso/p25715>	visual expression
<http://www.yso.fi/onto/yso/p11802>	dairy industry technician engineers
<http://www.yso.fi/onto/yso/p15380>	white spot disease (fish diseases)
<http://www.yso.fi/onto/yso/p183910>	Helmand
<http://www.yso.fi/onto/yso/p21446>	consultation procedure
<http://www.yso.fi/onto/yso/p11460>	sensors
<http://www.yso.fi/onto/yso/p500>	harness racehorses
<http://www.yso.fi/onto/yso/p15102>	Moscow residents
<http://www.yso.fi/onto/yso/p12631>	Rome Treaty
<http://www.yso.fi/onto/yso/p18007>	best practices
<http://www.yso.fi/onto/yso/p29778>	hard rock
<http://www.yso.fi/onto/yso/p20700>	gigantism
<http://www.yso.fi/onto/yso/p3706>	walking (motion)
<http://www.yso.fi/onto/yso/p94124>	Hamina
<http://www.yso.fi/onto/yso/p14844>	change of ownership
<http://www.yso.fi/onto/yso/p14155>	car business
<http://www.yso.fi/onto/yso/p2521>	remote sensing
<http://www.yso.fi/onto/yso/p936>	KorCAD
<http://www.yso.fi/onto/yso/p11372>	coriander
<http://www.yso.fi/onto/yso/p25100>	optical illusions
<http://www.yso.fi/onto/yso/p5228>	seating
<http://www.yso.fi/onto/yso/p20685>	Act on Occupational Safety and Health Enforcement and Cooperation on Occupational Safety and Health at Workplaces
<http://www.yso.fi/onto/yso/p24138>	Hereford
<http://www.yso.fi/onto/yso/p9592>	modern art
<http://www.yso.fi/onto/yso/p27296>	braiding
<http://www.yso.fi/onto/yso/p20998>	tanners
<http://www.yso.fi/onto/yso/p8953>	national romanticism
<http://www.yso.fi/onto/yso/p209905>	Tennessee
<http://www.yso.fi/onto/yso/p20408>	baptism movements
<http://www.yso.fi/onto/yso/p1360>	airfields
<http://www.yso.fi/onto/yso/p15041>	marine ecology
<http://www.yso.fi/onto/yso/p8718>	qi gong
<http://www.yso.fi/onto/yso/p159520>	Bollnäs
<http://www.yso.fi/onto/yso/p146543>	Upper Savonia
<http://www.yso.fi/onto/yso/p16484>	glass
<http://www.yso.fi/onto/yso/p21197>	electronic government
<http://www.yso.fi/onto/yso/p24632>	enzyme replacement therapy
<http://www.yso.fi/onto/yso/p11326>	waste glass collection
<http://www.yso.fi/onto/yso/p19501>	normed spaces
<http://www.yso.fi/onto/yso/p10335>	anthropometry
<http://www.yso.fi/onto/yso/p27539>	border management
<http://www.yso.fi/onto/yso/p22413>	miniature pinscher
<http://www.yso.fi/onto/yso/p28013>	arena theatres
<http://www.yso.fi/onto/yso/p4643>	snow tyres
<http://www.yso.fi/onto/yso/p13837>	garden furniture
<http://www.yso.fi/onto/yso/p11558>	research vessels
<http://www.yso.fi/onto/yso/p105103>	Sahalahti
<http://www.yso.fi/onto/yso/p213060>	Ilpoinen
<http://www.yso.fi/onto/yso/p27472>	electric vehicles
<http://www.yso.fi/onto/yso/p21860>	invisibility
<http://www.yso.fi/onto/yso/p21375>	Artemisia vulgaris
<http://www.yso.fi/onto/yso/p4634>	cultural psychology
<http://www.yso.fi/onto/yso/p13665>	Confucianism
<http://www.yso.fi/onto/yso/p19436>	choreographers
<http://www.yso.fi/onto/yso/p139907>	Ventspils
<http://www.yso.fi/onto/yso/p9179>	underground trains
<http://www.yso.fi/onto/yso/p8422>	insulin
<http://www.yso.fi/onto/yso/p18308>	Villa Miniato
<http://www.yso.fi/onto/yso/p9690>	bichons
<http://www.yso.fi/onto/yso/p15057>	national economy
<http://www.yso.fi/onto/yso/p20387>	machine installation
<http://www.yso.fi/onto/yso/p13094>	red squirrel
<http://www.yso.fi/onto/yso/p107484>	Main road 4
<http://www.yso.fi/onto/yso/p29667>	balance training
<http://www.yso.fi/onto/yso/p14198>	Battle of Parkumäki
<http://www.yso.fi/onto/yso/p18025>	players of Finnish baseball
<http://www.yso.fi/onto/yso/p27229>	anions
<http://www.yso.fi/onto/yso/p9348>	disassembly equipment
<http://www.yso.fi/onto/yso/p3170>	state territory
<http://www.yso.fi/onto/yso/p17185>	precipitation (passive)
<http://www.yso.fi/onto/yso/p13780>	theatre directors
<http://www.yso.fi/onto/yso/p18552>	Genetta genetta
<http://www.yso.fi/onto/yso/p27390>	Suomi rock
<http://www.yso.fi/onto/yso/p106119>	Sicily
<http://www.yso.fi/onto/yso/p28699>	general works
<http://www.yso.fi/onto/yso/p4661>	preservability
<http://www.yso.fi/onto/yso/p27451>	Shikoku dog
<http://www.yso.fi/onto/yso/p212574>	Punkaharju
<http://www.yso.fi/onto/yso/p27111>	calderas
<http://www.yso.fi/onto/yso/p18202>	work measurement
<http://www.yso.fi/onto/yso/p108075>	Lofoten
<http://www.yso.fi/onto/yso/p26018>	graphs
<http://www.yso.fi/onto/yso/p27684>	mountain running
<http://www.yso.fi/onto/yso/p27912>	inverse problems
<http://www.yso.fi/onto/yso/p11453>	switching devices
<http://www.yso.fi/onto/yso/p108199>	Simpelejärvi
<http://www.yso.fi/onto/yso/p16992>	lettering
<http://www.yso.fi/onto/yso/p26810>	ski routes
<http://www.yso.fi/onto/yso/p5511>	prisoners
<http://www.yso.fi/onto/yso/p28315>	magnetoreception
<http://www.yso.fi/onto/yso/p10148>	laboratory technologists
<http://www.yso.fi/onto/yso/p29796>	cumbia
<http://www.yso.fi/onto/yso/p109590>	Södertälje
<http://www.yso.fi/onto/yso/p2925>	cancellation (legal)
<http://www.yso.fi/onto/yso/p5184>	dictionaries
<http://www.yso.fi/onto/yso/p19992>	school magazines
<http://www.yso.fi/onto/yso/p21472>	deduction of household expenses
<http://www.yso.fi/onto/yso/p13759>	liability for risk
<http://www.yso.fi/onto/yso/p29452>	service disruption notices
<http://www.yso.fi/onto/yso/p21645>	debut works
<http://www.yso.fi/onto/yso/p120316>	Vuonislahti
<http://www.yso.fi/onto/yso/p38120>	gorillas (genus)
<http://www.yso.fi/onto/yso/p23715>	brood parasitism
<http://www.yso.fi/onto/yso/p94164>	Janakkala
<http://www.yso.fi/onto/yso/p21763>	foxtrot (dances)
<http://www.yso.fi/onto/yso/p6621>	online teaching
<http://www.yso.fi/onto/yso/p19244>	Child Behavior Checklist
<http://www.yso.fi/onto/yso/p37808>	dark tourism
<http://www.yso.fi/onto/yso/p21346>	draisines
<http://www.yso.fi/onto/yso/p23629>	Irish setter
<http://www.yso.fi/onto/yso/p16051>	thrombocytopenia
<http://www.yso.fi/onto/yso/p2171>	historical cognitive linguistics
<http://www.yso.fi/onto/yso/p6309>	arctic cultures
<http://www.yso.fi/onto/yso/p28645>	Impatiens
<http://www.yso.fi/onto/yso/p25688>	freight wagons
<http://www.yso.fi/onto/yso/p12895>	farrowing
<http://www.yso.fi/onto/yso/p10212>	incapacity for work
<http://www.yso.fi/onto/yso/p17278>	leather manufacturers
<http://www.yso.fi/onto/yso/p14410>	young offenders
<http://www.yso.fi/onto/yso/p22980>	buds
<http://www.yso.fi/onto/yso/p18008>	mainstreaming
<http://www.yso.fi/onto/yso/p10664>	regulation (control)
<http://www.yso.fi/onto/yso/p20273>	soil protection
<http://www.yso.fi/onto/yso/p25329>	Battle of Trafalgar
<http://www.yso.fi/onto/yso/p1225>	role related to regional identity
<http://www.yso.fi/onto/yso/p23985>	Saturday
<http://www.yso.fi/onto/yso/p27343>	digital estate
<http://www.yso.fi/onto/yso/p16834>	conservation of the seas
<http://www.yso.fi/onto/yso/p20599>	Cossacks
<http://www.yso.fi/onto/yso/p3885>	military
<http://www.yso.fi/onto/yso/p26354>	Iroquois Indians
<http://www.yso.fi/onto/yso/p16634>	Euphorbiaceae
<http://www.yso.fi/onto/yso/p16691>	coniferous forests
<http://www.yso.fi/onto/yso/p14815>	Messianic Jews
<http://www.yso.fi/onto/yso/p108816>	Räyrinki
<http://www.yso.fi/onto/yso/p11197>	calculus of variations
<http://www.yso.fi/onto/yso/p12324>	field work
<http://www.yso.fi/onto/yso/p3589>	cardinal points
<http://www.yso.fi/onto/yso/p5225>	kayaks
<http://www.yso.fi/onto/yso/p5161>	waiters and waitresses
<http://www.yso.fi/onto/yso/p15662>	Tytonidae
<http://www.yso.fi/onto/yso/p24976>	private caretakers
<http://www.yso.fi/onto/yso/p1451>	eyesight
<http://www.yso.fi/onto/yso/p105565>	Somalia
<http://www.yso.fi/onto/yso/p18749>	light art
<http://www.yso.fi/onto/yso/p21358>	beauvercin
<http://www.yso.fi/onto/yso/p28212>	performance studies
<http://www.yso.fi/onto/yso/p19298>	Celtic art
<http://www.yso.fi/onto/yso/p11822>	appetisers
<http://www.yso.fi/onto/yso/p23671>	Lammi Farmstead
<http://www.yso.fi/onto/yso/p23745>	functional linguistics
<http://www.yso.fi/onto/yso/p27446>	temptations
<http://www.yso.fi/onto/yso/p248>	educational systems
<http://www.yso.fi/onto/yso/p23382>	hybrid media
<http://www.yso.fi/onto/yso/p4470>	course-based teaching
<http://www.yso.fi/onto/yso/p94257>	Lapua
<http://www.yso.fi/onto/yso/p105676>	Kautokeino
<http://www.yso.fi/onto/yso/p25461>	Kritiikin kannukset
<http://www.yso.fi/onto/yso/p16183>	agricultural economics
<http://www.yso.fi/onto/yso/p8489>	interferons
<http://www.yso.fi/onto/yso/p16631>	Kokemäenkartano manor
<http://www.yso.fi/onto/yso/p15998>	open academy
<http://www.yso.fi/onto/yso/p5472>	foster care
<http://www.yso.fi/onto/yso/p9801>	Anthophila (Hymenoptera)
<http://www.yso.fi/onto/yso/p16615>	bran
<http://www.yso.fi/onto/yso/p37903>	Ganda language literature
<http://www.yso.fi/onto/yso/p94406>	Bothnian Sea
<http://www.yso.fi/onto/yso/p21647>	EHEC
<http://www.yso.fi/onto/yso/p16055>	Alnus glutinosa
<http://www.yso.fi/onto/yso/p25578>	Siberian tiger
<http://www.yso.fi/onto/yso/p124922>	Hietoinen
<http://www.yso.fi/onto/yso/p15631>	premises with transparent roofs
<http://www.yso.fi/onto/yso/p24244>	bone
<http://www.yso.fi/onto/yso/p26965>	identity theft
<http://www.yso.fi/onto/yso/p21266>	maritime surveillance
<http://www.yso.fi/onto/yso/p15894>	chemical analysis
<http://www.yso.fi/onto/yso/p15748>	bioinformatics
<http://www.yso.fi/onto/yso/p13888>	treasures
<http://www.yso.fi/onto/yso/p29389>	spinal cord injuries
<http://www.yso.fi/onto/yso/p121345>	Old Great Square
<http://www.yso.fi/onto/yso/p5268>	recycling
<http://www.yso.fi/onto/yso/p29479>	eidetic reduction
<http://www.yso.fi/onto/yso/p938>	churches (organisations)
<http://www.yso.fi/onto/yso/p17086>	floor plans
<http://www.yso.fi/onto/yso/p109503>	Vaattojärvi
<http://www.yso.fi/onto/yso/p13718>	housing market
<http://www.yso.fi/onto/yso/p16604>	party games
<http://www.yso.fi/onto/yso/p10839>	Thalictrum aquilegiifolium
<http://www.yso.fi/onto/yso/p113014>	Jolos
<http://www.yso.fi/onto/yso/p3476>	poverty
<http://www.yso.fi/onto/yso/p11212>	hospital priests
<http://www.yso.fi/onto/yso/p25112>	NASCAR series
<http://www.yso.fi/onto/yso/p18565>	church centres
<http://www.yso.fi/onto/yso/p17734>	vocational adult education centres
<http://www.yso.fi/onto/yso/p20229>	cultural programmes
<http://www.yso.fi/onto/yso/p5006>	Mosaic (computer programmes)
<http://www.yso.fi/onto/yso/p451>	nutrition policy
<http://www.yso.fi/onto/yso/p23068>	MELAS syndrome
<http://www.yso.fi/onto/yso/p29753>	flashback
<http://www.yso.fi/onto/yso/p757>	hunting lodges
<http://www.yso.fi/onto/yso/p27144>	Villa Boström
<http://www.yso.fi/onto/yso/p241>	particles (parts of speech)
<http://www.yso.fi/onto/yso/p6596>	hermaphroditism
<http://www.yso.fi/onto/yso/p25003>	Mikael Agricola Church
<http://www.yso.fi/onto/yso/p111190>	Heinäpää
<http://www.yso.fi/onto/yso/p5295>	economics (curriculum subjects)
<http://www.yso.fi/onto/yso/p7135>	social norms
<http://www.yso.fi/onto/yso/p8371>	industrial actions
<http://www.yso.fi/onto/yso/p28972>	sprinters
<http://www.yso.fi/onto/yso/p21637>	Calidris
<http://www.yso.fi/onto/yso/p985>	voice therapy
<http://www.yso.fi/onto/yso/p22149>	Cerastoderma glaucum
<http://www.yso.fi/onto/yso/p133695>	Tahmela
<http://www.yso.fi/onto/yso/p1284>	basic public services
<http://www.yso.fi/onto/yso/p19949>	insurance against loss or damage
<http://www.yso.fi/onto/yso/p20498>	serial publications
<http://www.yso.fi/onto/yso/p13409>	military associations
<http://www.yso.fi/onto/yso/p5678>	habitat
<http://www.yso.fi/onto/yso/p10309>	forestry engineers
<http://www.yso.fi/onto/yso/p11447>	farm relief workers
<http://www.yso.fi/onto/yso/p17466>	sports instructors
<http://www.yso.fi/onto/yso/p4244>	smelt
<http://www.yso.fi/onto/yso/p23164>	community educators
<http://www.yso.fi/onto/yso/p4356>	life changes
<http://www.yso.fi/onto/yso/p6549>	choice
<http://www.yso.fi/onto/yso/p19543>	Church of Saint Olaf (Vammala)
<http://www.yso.fi/onto/yso/p110137>	Arabianranta
<http://www.yso.fi/onto/yso/p24000>	hydrometallurgy
<http://www.yso.fi/onto/yso/p12048>	era of independence
<http://www.yso.fi/onto/yso/p27200>	personal health care
<http://www.yso.fi/onto/yso/p4985>	titles of publications
<http://www.yso.fi/onto/yso/p2317>	physiology
<http://www.yso.fi/onto/yso/p2524>	aerial photographs
<http://www.yso.fi/onto/yso/p4650>	liability for acts in office
<http://www.yso.fi/onto/yso/p18583>	veneer
<http://www.yso.fi/onto/yso/p10994>	microelectronics
<http://www.yso.fi/onto/yso/p24288>	genealogy (philosophy)
<http://www.yso.fi/onto/yso/p94125>	Hammarland
<http://www.yso.fi/onto/yso/p187195>	Apulia
<http://www.yso.fi/onto/yso/p4191>	supervisors
<http://www.yso.fi/onto/yso/p1493>	secretions
<http://www.yso.fi/onto/yso/p21493>	aircraft technology
<http://www.yso.fi/onto/yso/p11274>	cookbooks
<http://www.yso.fi/onto/yso/p94485>	Viiala
<http://www.yso.fi/onto/yso/p8516>	family planning
<http://www.yso.fi/onto/yso/p6467>	HPAC works
<http://www.yso.fi/onto/yso/p8719>	summary payment order
<http://www.yso.fi/onto/yso/p24519>	obligations
<http://www.yso.fi/onto/yso/p6487>	yeast
<http://www.yso.fi/onto/yso/p20033>	Sarcoptes scabiei
<http://www.yso.fi/onto/yso/p188405>	Assisi
<http://www.yso.fi/onto/yso/p20917>	arranged marriage
<http://www.yso.fi/onto/yso/p19170>	forest roads
<http://www.yso.fi/onto/yso/p21620>	GarbageX
<http://www.yso.fi/onto/yso/p15266>	modern dance
<http://www.yso.fi/onto/yso/p28550>	epic theatre
<http://www.yso.fi/onto/yso/p28196>	mental events
<http://www.yso.fi/onto/yso/p15634>	vaccines
<http://www.yso.fi/onto/yso/p27676>	betulin
<http://www.yso.fi/onto/yso/p10663>	bachelor and bachelorette parties
<http://www.yso.fi/onto/yso/p105598>	Delaware
<http://www.yso.fi/onto/yso/p11645>	aura (occultism)
<http://www.yso.fi/onto/yso/p23678>	Convention for the Protection of the Marine Environment of the North-East Atlantic
<http://www.yso.fi/onto/yso/p14836>	February Manifesto of 1899
<http://www.yso.fi/onto/yso/p13748>	cholera
<http://www.yso.fi/onto/yso/p14436>	nomination of candidates
<http://www.yso.fi/onto/yso/p5585>	secrecy of telephone communications
<http://www.yso.fi/onto/yso/p26912>	provincial birds
<http://www.yso.fi/onto/yso/p23122>	Act on the Status and Rights of Social Welfare Clients
<http://www.yso.fi/onto/yso/p15557>	official regulations
<http://www.yso.fi/onto/yso/p3197>	parole period
<http://www.yso.fi/onto/yso/p19166>	chairmanship
<http://www.yso.fi/onto/yso/p8109>	folk memory
<http://www.yso.fi/onto/yso/p37746>	Cretaceous
<http://www.yso.fi/onto/yso/p25926>	immediate leadership
<http://www.yso.fi/onto/yso/p8027>	profit responsibility
<http://www.yso.fi/onto/yso/p8223>	bison
<http://www.yso.fi/onto/yso/p27619>	Euroscepticism
<http://www.yso.fi/onto/yso/p38240>	archaeological sites
<http://www.yso.fi/onto/yso/p23821>	smartphones
<http://www.yso.fi/onto/yso/p29195>	Minerva programme
<http://www.yso.fi/onto/yso/p14367>	topographers
<http://www.yso.fi/onto/yso/p23175>	television films
<http://www.yso.fi/onto/yso/p21914>	nanopolymers
<http://www.yso.fi/onto/yso/p10662>	laser radiation
<http://www.yso.fi/onto/yso/p21791>	unconscious mind
<http://www.yso.fi/onto/yso/p106044>	Uganda
<http://www.yso.fi/onto/yso/p10077>	Premiere (computer programmes)
<http://www.yso.fi/onto/yso/p19115>	exchange of publications
<http://www.yso.fi/onto/yso/p24621>	fibrates
<http://www.yso.fi/onto/yso/p27597>	single photon emission computed tomography
<http://www.yso.fi/onto/yso/p8362>	parasitism
<http://www.yso.fi/onto/yso/p3245>	Russification of Finland
<http://www.yso.fi/onto/yso/p105098>	South Africa
<http://www.yso.fi/onto/yso/p105770>	Masku
<http://www.yso.fi/onto/yso/p18664>	angels
<http://www.yso.fi/onto/yso/p22647>	Atlantic salmon
<http://www.yso.fi/onto/yso/p109312>	Jussarö
<http://www.yso.fi/onto/yso/p109665>	Pihlava
<http://www.yso.fi/onto/yso/p27465>	health geography
<http://www.yso.fi/onto/yso/p27326>	underground hunting
<http://www.yso.fi/onto/yso/p14809>	planning of administrative provinces
<http://www.yso.fi/onto/yso/p14982>	labour turnover
<http://www.yso.fi/onto/yso/p28026>	Postal Act
<http://www.yso.fi/onto/yso/p124541>	Moravia
<http://www.yso.fi/onto/yso/p14953>	international corporations
<http://www.yso.fi/onto/yso/p20828>	sexuality (gender orientation)
<http://www.yso.fi/onto/yso/p21939>	nursing processes
<http://www.yso.fi/onto/yso/p5570>	networks (societal phenomena)
<http://www.yso.fi/onto/yso/p20344>	insurance contracts
<http://www.yso.fi/onto/yso/p14521>	paganism
<http://www.yso.fi/onto/yso/p113046>	Yyteri
<http://www.yso.fi/onto/yso/p14798>	metric system
<http://www.yso.fi/onto/yso/p104968>	France
<http://www.yso.fi/onto/yso/p678>	cancerous diseases
<http://www.yso.fi/onto/yso/p11005>	special occasion speeches
<http://www.yso.fi/onto/yso/p116425>	Ämmänsaari
<http://www.yso.fi/onto/yso/p29343>	Osara manor
<http://www.yso.fi/onto/yso/p120936>	Bennäs
<http://www.yso.fi/onto/yso/p7051>	presentations (introductions)
<http://www.yso.fi/onto/yso/p8439>	cookies (files)
<http://www.yso.fi/onto/yso/p21094>	normality
<http://www.yso.fi/onto/yso/p29210>	Nanai language literature
<http://www.yso.fi/onto/yso/p28515>	European champions
<http://www.yso.fi/onto/yso/p12775>	laser players
<http://www.yso.fi/onto/yso/p11740>	record results
<http://www.yso.fi/onto/yso/p1187>	yearbooks
<http://www.yso.fi/onto/yso/p11813>	Tampereen kukkaisviikot
<http://www.yso.fi/onto/yso/p15224>	sparrows
<http://www.yso.fi/onto/yso/p30226>	common murre
<http://www.yso.fi/onto/yso/p25336>	polygyny
<http://www.yso.fi/onto/yso/p10504>	symbolism (post-impressionism)
<http://www.yso.fi/onto/yso/p8306>	serology
<http://www.yso.fi/onto/yso/p1164>	natural objects
<http://www.yso.fi/onto/yso/p11021>	Test Analysis Package
<http://www.yso.fi/onto/yso/p17215>	urticaria
<http://www.yso.fi/onto/yso/p7657>	furans
<http://www.yso.fi/onto/yso/p21581>	cockatiel
<http://www.yso.fi/onto/yso/p23975>	emotional skills
<http://www.yso.fi/onto/yso/p28980>	land race breeds
<http://www.yso.fi/onto/yso/p29555>	Ume Sami language
<http://www.yso.fi/onto/yso/p17918>	genetive case
<http://www.yso.fi/onto/yso/p26910>	oppositional defiant disorder
<http://www.yso.fi/onto/yso/p9185>	water analysis
<http://www.yso.fi/onto/yso/p5138>	data communication systems
<http://www.yso.fi/onto/yso/p28711>	deep-water channels
<http://www.yso.fi/onto/yso/p9125>	chief secretaries
<http://www.yso.fi/onto/yso/p2359>	environmental toxins
<http://www.yso.fi/onto/yso/p37914>	boat ramps
<http://www.yso.fi/onto/yso/p8081>	machine shop engineering
<http://www.yso.fi/onto/yso/p15763>	Amsterdam Treaty
<http://www.yso.fi/onto/yso/p13901>	stone structures
<http://www.yso.fi/onto/yso/p212122>	Hakkila
<http://www.yso.fi/onto/yso/p22721>	protection plans
<http://www.yso.fi/onto/yso/p12726>	genetic resources
<http://www.yso.fi/onto/yso/p10512>	educational department
<http://www.yso.fi/onto/yso/p21076>	ecological modernisation
<http://www.yso.fi/onto/yso/p17241>	polynomials
<http://www.yso.fi/onto/yso/p23988>	body painting
<http://www.yso.fi/onto/yso/p24828>	red
<http://www.yso.fi/onto/yso/p2605>	emergent materialism
<http://www.yso.fi/onto/yso/p24436>	wholesalers
<http://www.yso.fi/onto/yso/p8084>	political education
<http://www.yso.fi/onto/yso/p3688>	folk customs
<http://www.yso.fi/onto/yso/p25639>	internet addiction
<http://www.yso.fi/onto/yso/p29147>	Gyromitra sphaerospora
<http://www.yso.fi/onto/yso/p28881>	Rhade people
<http://www.yso.fi/onto/yso/p23185>	instant messaging clients
<http://www.yso.fi/onto/yso/p14820>	Maastricht Treaty
<http://www.yso.fi/onto/yso/p6062>	games
<http://www.yso.fi/onto/yso/p19941>	sports sections
<http://www.yso.fi/onto/yso/p8939>	database programs
<http://www.yso.fi/onto/yso/p2211>	immediate family
<http://www.yso.fi/onto/yso/p28205>	days off
<http://www.yso.fi/onto/yso/p22142>	halal
<http://www.yso.fi/onto/yso/p28361>	mise en abyme
<http://www.yso.fi/onto/yso/p12395>	small publishers
<http://www.yso.fi/onto/yso/p17041>	disinvestments
<http://www.yso.fi/onto/yso/p9523>	crisis centres
<http://www.yso.fi/onto/yso/p7082>	watercrafts
<http://www.yso.fi/onto/yso/p2160>	oratorios
<http://www.yso.fi/onto/yso/p3941>	infantry
<http://www.yso.fi/onto/yso/p15070>	content production
<http://www.yso.fi/onto/yso/p25728>	buffets
<http://www.yso.fi/onto/yso/p18522>	American ginseng
<http://www.yso.fi/onto/yso/p1145>	lasers
<http://www.yso.fi/onto/yso/p109227>	Dahomey
<http://www.yso.fi/onto/yso/p94193>	Karkkila
<http://www.yso.fi/onto/yso/p10590>	social interaction
<http://www.yso.fi/onto/yso/p26637>	South Harbour
<http://www.yso.fi/onto/yso/p29358>	lithium-ion batteries
<http://www.yso.fi/onto/yso/p19471>	boards of physical education
<http://www.yso.fi/onto/yso/p109456>	Moshchny Island
<http://www.yso.fi/onto/yso/p3181>	people with societal influence
<http://www.yso.fi/onto/yso/p1911>	control (steering)
<http://www.yso.fi/onto/yso/p110195>	Attu
<http://www.yso.fi/onto/yso/p29788>	mento
<http://www.yso.fi/onto/yso/p24971>	overtraining
<http://www.yso.fi/onto/yso/p14670>	hypermedia
<http://www.yso.fi/onto/yso/p23473>	urban economics
<http://www.yso.fi/onto/yso/p2240>	science (phenomena)
<http://www.yso.fi/onto/yso/p5609>	placebo
<http://www.yso.fi/onto/yso/p13494>	black-and-white films (photography)
<http://www.yso.fi/onto/yso/p10416>	treasure finds
<http://www.yso.fi/onto/yso/p11485>	homeopathy
<http://www.yso.fi/onto/yso/p11509>	eutrophication
<http://www.yso.fi/onto/yso/p38116>	ethnomathematics
<http://www.yso.fi/onto/yso/p27404>	mountain sickness
<http://www.yso.fi/onto/yso/p3312>	parenthood
<http://www.yso.fi/onto/yso/p10695>	tattooing
<http://www.yso.fi/onto/yso/p29267>	Vietnamese language literature
<http://www.yso.fi/onto/yso/p3511>	settlement (population)
<http://www.yso.fi/onto/yso/p9474>	Euclidean geometry
<http://www.yso.fi/onto/yso/p2411>	cell nucleus
<http://www.yso.fi/onto/yso/p2880>	language
<http://www.yso.fi/onto/yso/p18048>	Scientology
<http://www.yso.fi/onto/yso/p23936>	Tibetan massage
<http://www.yso.fi/onto/yso/p7710>	Mexicans
<http://www.yso.fi/onto/yso/p17471>	youth information
<http://www.yso.fi/onto/yso/p13029>	cards
<http://www.yso.fi/onto/yso/p23932>	gender neutrality
<http://www.yso.fi/onto/yso/p9583>	instructions
<http://www.yso.fi/onto/yso/p22900>	telemark
<http://www.yso.fi/onto/yso/p15867>	Atheriniformes
<http://www.yso.fi/onto/yso/p11300>	code switching (use of language)
<http://www.yso.fi/onto/yso/p12476>	sheet metal  foremen
<http://www.yso.fi/onto/yso/p21854>	print fabrics
<http://www.yso.fi/onto/yso/p2158>	political geography
<http://www.yso.fi/onto/yso/p23567>	house protection
<http://www.yso.fi/onto/yso/p11009>	manuscripts
<http://www.yso.fi/onto/yso/p1149>	pictures
<http://www.yso.fi/onto/yso/p188395>	Ketunmaa
<http://www.yso.fi/onto/yso/p8317>	streets
<http://www.yso.fi/onto/yso/p19512>	hospital libraries
<http://www.yso.fi/onto/yso/p14582>	lacquering
<http://www.yso.fi/onto/yso/p7913>	mental health work
<http://www.yso.fi/onto/yso/p105176>	Livojoki
<http://www.yso.fi/onto/yso/p11382>	cash
<http://www.yso.fi/onto/yso/p9647>	private ownership
<http://www.yso.fi/onto/yso/p23999>	configuration theory
<http://www.yso.fi/onto/yso/p108740>	Chechen-Ingush Autonomous Soviet Socialist Republic
<http://www.yso.fi/onto/yso/p28522>	Aleutian disease
<http://www.yso.fi/onto/yso/p20280>	Normans
<http://www.yso.fi/onto/yso/p23311>	hypochondria
<http://www.yso.fi/onto/yso/p8752>	service vouchers
<http://www.yso.fi/onto/yso/p107827>	Kumpula
<http://www.yso.fi/onto/yso/p16168>	sugar industry
<http://www.yso.fi/onto/yso/p18748>	Cactaceae
<http://www.yso.fi/onto/yso/p27914>	Newton's laws
<http://www.yso.fi/onto/yso/p9052>	group homes
<http://www.yso.fi/onto/yso/p3086>	dehydration
<http://www.yso.fi/onto/yso/p8300>	enlargers
<http://www.yso.fi/onto/yso/p22422>	impregnated wood
<http://www.yso.fi/onto/yso/p30020>	nonets (compositions)
<http://www.yso.fi/onto/yso/p27850>	biological warfare
<http://www.yso.fi/onto/yso/p10437>	natural fibres
<http://www.yso.fi/onto/yso/p10108>	ethanol
<http://www.yso.fi/onto/yso/p109175>	Oman
<http://www.yso.fi/onto/yso/p1430>	antique dealers (shops)
<http://www.yso.fi/onto/yso/p22189>	post-production
<http://www.yso.fi/onto/yso/p22400>	whippet
<http://www.yso.fi/onto/yso/p25565>	Saint Paul's Church
<http://www.yso.fi/onto/yso/p17708>	pelicans
<http://www.yso.fi/onto/yso/p23353>	Keeshond
<http://www.yso.fi/onto/yso/p10777>	data cards
<http://www.yso.fi/onto/yso/p22869>	utility value analysis
<http://www.yso.fi/onto/yso/p14717>	etiquette handbooks
<http://www.yso.fi/onto/yso/p8051>	guerilla movements
<http://www.yso.fi/onto/yso/p26213>	Avar language
<http://www.yso.fi/onto/yso/p10876>	large intestine
<http://www.yso.fi/onto/yso/p1478>	overproduction
<http://www.yso.fi/onto/yso/p28820>	properties related to relations and mutual activity
<http://www.yso.fi/onto/yso/p8661>	organists
